Date,Open,High,Low,Close,Adj Close,Volume
2016-04-20,69.180000,69.550003,68.410004,69.230003,56.252438,6918800
2016-04-21,69.019997,70.239998,68.879997,70.160004,57.008095,5420500
2016-04-22,70.250000,71.070000,70.250000,70.680000,57.430645,5804000
2016-04-25,70.610001,70.830002,70.040001,70.629997,57.389984,4231400
2016-04-26,70.639999,71.070000,70.129997,70.860001,57.576881,4608400
2016-04-27,70.860001,71.000000,68.610001,70.230003,57.064972,7572200
2016-04-28,71.779999,73.059998,69.500000,72.260002,58.714439,13740700
2016-04-29,72.059998,72.690002,71.370003,72.180000,58.649437,9503400
2016-05-02,72.190002,72.339996,71.489998,71.959999,58.470695,7739100
2016-05-03,71.949997,72.029999,70.750000,71.129997,57.796261,5758700
2016-05-04,70.419998,70.949997,70.139999,70.779999,57.511887,6835200
2016-05-05,70.559998,71.190002,70.040001,71.150002,57.812508,6368300
2016-05-06,71.000000,71.500000,69.879997,71.220001,57.869411,4770100
2016-05-09,71.339996,71.980003,71.290001,71.339996,57.966892,5283500
2016-05-10,71.750000,71.750000,70.849998,71.529999,58.121300,5758800
2016-05-11,71.320000,71.519997,70.599998,70.809998,57.536243,5356500
2016-05-12,71.040001,71.389999,70.589996,71.279999,57.918148,4922600
2016-05-13,71.269997,71.900002,71.000000,71.180000,57.836891,3935200
2016-05-16,71.419998,73.010002,71.019997,72.830002,59.177582,5030700
2016-05-17,72.230003,72.970001,70.900002,71.209999,57.861275,10779600
2016-05-18,70.910004,71.800003,70.639999,71.089996,57.763748,5071000
2016-05-19,70.629997,71.000000,69.559998,70.330002,57.146240,5425000
2016-05-20,70.550003,71.160004,70.320000,70.769997,57.503742,5164000
2016-05-23,70.930000,71.000000,69.610001,70.400002,57.203117,5905300
2016-05-24,70.940002,71.440002,70.830002,71.230003,57.877518,3878800
2016-05-25,71.300003,71.570000,70.540001,70.690002,57.438751,5810100
2016-05-26,70.540001,70.980003,70.290001,70.730003,57.471256,3995000
2016-05-27,70.940002,71.540001,70.709999,71.309998,57.942524,3630900
2016-05-31,71.360001,71.879997,70.940002,71.699997,58.259415,7162500
2016-06-01,71.709999,72.110001,71.400002,71.870003,58.397556,3726000
2016-06-02,71.919998,73.000000,71.790001,73.000000,59.315731,4610800
2016-06-03,72.760002,73.370003,72.330002,72.889999,59.226360,5039500
2016-06-06,73.419998,75.120003,73.410004,74.290001,60.363892,9599500
2016-06-07,74.239998,74.650002,73.690002,73.910004,60.055141,5037500
2016-06-08,73.959999,73.989998,73.279999,73.410004,59.648865,5702700
2016-06-09,73.370003,73.709999,72.639999,72.730003,59.096344,5693700
2016-06-10,72.500000,72.980003,72.180000,72.650002,59.031338,5007100
2016-06-13,72.669998,73.169998,72.000000,72.220001,58.681953,4726800
2016-06-14,72.220001,73.150002,72.160004,73.099998,59.396969,4691900
2016-06-15,73.250000,73.760002,72.489998,72.570000,58.966324,5390100
2016-06-16,72.349998,72.519997,70.769997,71.730003,58.283779,10778200
2016-06-17,72.000000,72.000000,70.129997,70.669998,57.422497,15007700
2016-06-20,71.330002,71.750000,70.959999,70.959999,57.658138,5165800
2016-06-21,71.160004,71.500000,70.360001,71.250000,57.893772,6450900
2016-06-22,71.250000,73.440002,71.220001,72.309998,58.755085,8093800
2016-06-23,72.860001,72.910004,72.150002,72.639999,59.023212,5624500
2016-06-24,70.750000,71.849998,70.529999,70.610001,57.373745,7414100
2016-06-27,70.389999,71.129997,70.089996,70.320000,57.138103,7473500
2016-06-28,70.949997,72.080002,70.669998,72.010002,58.511318,7066400
2016-06-29,72.120003,73.169998,71.959999,73.000000,59.630402,6539800
2016-06-30,73.099998,73.750000,72.709999,73.550003,60.079674,5763900
2016-07-01,73.660004,74.160004,73.330002,73.779999,60.267548,3123100
2016-07-05,73.750000,74.190002,73.290001,73.779999,60.267548,4255900
2016-07-06,74.010002,74.059998,72.870003,73.860001,60.332890,6517600
2016-07-07,73.849998,74.150002,73.629997,74.080002,60.512585,4056700
2016-07-08,74.290001,75.720001,74.000000,75.279999,61.492836,5428100
2016-07-11,75.300003,75.839996,75.029999,75.389999,61.582668,5278000
2016-07-12,75.480003,76.550003,75.480003,76.199997,62.244316,5934800
2016-07-13,76.690002,76.889999,76.099998,76.580002,62.554749,4651000
2016-07-14,76.790001,76.919998,76.290001,76.769997,62.709957,4352600
2016-07-15,77.110001,77.120003,75.080002,76.000000,62.080963,7523600
2016-07-18,76.269997,76.360001,75.620003,75.959999,62.048283,3793900
2016-07-19,75.900002,76.190002,75.430000,75.470001,61.648037,3693200
2016-07-20,75.709999,76.040001,75.540001,75.720001,61.852253,3949500
2016-07-21,75.610001,76.080002,75.150002,75.500000,61.672527,3376600
2016-07-22,75.500000,75.980003,75.000000,75.680000,61.819569,5276200
2016-07-25,75.699997,75.750000,75.070000,75.559998,61.721550,3989000
2016-07-26,75.779999,75.870003,74.889999,75.059998,61.313110,3826400
2016-07-27,75.199997,76.800003,75.010002,76.470001,62.464890,5542600
2016-07-28,75.410004,76.480003,74.500000,74.660004,60.986378,7412600
2016-07-29,74.570000,75.160004,74.220001,74.809998,61.108891,4861100
2016-08-01,75.129997,76.300003,74.889999,76.190002,62.236164,5081900
2016-08-02,76.019997,76.070000,74.709999,75.050003,61.304943,4479000
2016-08-03,74.930000,75.059998,74.250000,74.800003,61.100735,4349600
2016-08-04,74.959999,75.620003,74.570000,75.320000,61.525513,3474900
2016-08-05,62.000000,64.769997,61.560001,63.279999,51.690575,86212600
2016-08-08,63.500000,63.650002,60.000000,60.299999,49.256344,60132800
2016-08-09,60.650002,62.250000,60.570000,61.610001,50.326416,25005600
2016-08-10,61.770000,61.830002,60.500000,60.580002,49.485065,14455100
2016-08-11,60.700001,61.130001,60.250000,60.970001,49.803623,14576300
